ID,Parameter_ID,Language_ID,Value,Source
possession-marker-blonga-bla,creole-possession-marker,gvn,blonga/bla,§1.1.4
quantifier-lexicon,creole-quantifier-lexicon,gvn,"too much, big mob",§1.1.4
lexical-item-savvy,creole-lexical-item,gvn,savvy ('know'),§1.1.4
suffix-ji-stative-marker,stative-marker-suffix,gvn,present,§3.8.5.4 (ii);§4.2.4
vowel-inventory,vowel-inventory,gvn,3,§1.2
vowel-articulation,vowel-articulation,gvn,pure,§1.2
vowel-diphthongization,vowel-diphthongization,gvn,no,§1.2
vowel-length-distinction,vowel-length-distinction,gvn,no,§1.2
vowel-occurrence,vowel-possibility,gvn,any,§2.2.1
c1-single-consonant,c1-single-consonant,gvn,yes,§2.2.1
c1-allowed-types,c1-allowed-types,gvn,"stop, nasal, semivowel",§2.2.1
c3-single-consonant,c3-single-consonant,gvn,yes,§2.2.1
c3-allowed-types,c3-allowed-types,gvn,"non-peripheral nasal, lateral, rhotic, lamino-palatal semivowel",§2.2.1
c2-consonant-cluster,c2-cluster,gvn,"single, or cluster of two or three",§2.2.1
geminate-consonants,geminate-consonants,gvn,no,§2.2.1
rhotic-palatal-sequence,rhotic-palatal-sequence,gvn,no,§2.2.1
y-conjugation-reduplication,y-conjugation-reduplication,gvn,"inserts /n/ between reduplicated roots",§2.2.1
bound-morpheme-types,bound-morpheme-types,gvn,"inflection, derivation, clitic","n/a"
bound-morpheme-syllable-count,bound-morpheme-syllable-count,gvn,"typically monosyllabic (with occasional disyllabic forms)","n/a"
monosyllabic-bound-morpheme-initial-clusters,monosyllabic-bound-morpheme-initial-clusters,gvn,allowed,"n/a"
clitic-initial-lateral,clitic-initial-lateral,gvn,present,"n/a"
vowel-harmony-rule,vowel-harmony-rule,gvn,"suffixes require /a/ and /i/ to be followed by /a/ and /u/ to be followed by /u/",§2.S.I
loanword-phonological-adaptation,phonological-adaptation,gvn,ceased in younger speakers,§2.3
loanword-morphological-adaptation,morphological-adaptation,gvn,present,§2.3
vowel-harmony,vowel-harmony,gvn,"applies to suffix vowels on nominal inflections (ergative, dative, locative, perlative), verbal subordination suffix -nyV, and clitic -ngVrr",§2.5.1
vowel-harmony-total-assimilation,vowel-harmony-total-assimilation,gvn,"u/u- and a/a- suffix vowels fully assimilate to the preceding vowel",§2.5.1
vowel-harmony-no-assimilation-after-i,vowel-harmony-no-assimilation-after-i,gvn,"after a final stem vowel /i/ the suffix vowel remains unchanged",§2.5.1
vowel-harmony-exceptions,vowel-harmony-exceptions,gvn,"ergative (-bu/V) and perlative (-burr/V) allomorphs are not affected by vowel harmony",§2.5.1
syllable-reduction-locative-inflection,locative-inflection-reduction,gvn,"-nga after root-final /a/ is reduced to long vowel a:",§2.5.3
syllable-reduction-causative,causative-verb-forming-affix-reduction,gvn,"-bungal is frequently reduced to -bal",§2.5.3
syllable-reduction-partial-first,partial-reduplication-first-syllable,gvn,"observed in four verbs",§2.5.3
syllable-reduction-partial-second,partial-reduplication-second-syllable,gvn,"observed in three verbs",§2.5.3
stress-word-boundary,stress-marks-word-boundaries,gvn,yes,§2.6
intonation-clause-difference,intonation-distinguishes-clause-types,gvn,yes,§2.6
primary-stress-first-syllable,primary-stress,gvn,first-syllable,§2.6.1
secondary-stress-optional,secondary-stress,gvn,optional,§2.6.1
clause-stress-location,clause-stress-location,gvn,first-syllable-of-word,§2.6.2
two-constituent-clause-stress,clause-stress-assignment-two-constituent,gvn,predicate,§2.6.2(i)
multi-constituent-clause-stress,clause-stress-assignment-multi-constituent,gvn,pre-predicator,§2.6.2(ii)
content-interrogative-stress,clause-stress-content-interrogative,gvn,interrogative-pronoun,§2.6.2(iii)a
polar-question-stress,clause-stress-polar,gvn,predicator,§2.6.2(iii)b
negative-statement-stress,clause-stress-negative,gvn,negative-particle-kari,§2.6.2
continuous-action-stress,clause-stress-continuous-action,gvn,first-syllable-of-first-verb,§2.6.2
tag-construction-stress,clause-stress-tag,gvn,added-noun-secondary-stress,§2.6.2
reprise-construction-stress,clause-stress-reprise,gvn,preposed-constituent-primary-and-clause-constituent-secondary,§2.6.2
word-classes-mutually-exclusive,mutually-exclusive-word-classes,gvn,yes,§3.1
word-classes-list,parts-of-speech,gvn,"Nominals; nouns; adjectives; quantifiers; location and time words; personal pronouns; interrogative pronouns; demonstratives; verbs; particles; interjections",§3.1
case-inflection,case-inflection,gvn,"present in all parts of speech except verbs, particles, and interjections",§3.1.1
personal-pronoun-case,personal-pronoun-case-distinction,gvn,"identical form for transitive and intransitive subject; distinct form for transitive object",§3.1.1
nonpronoun-case,nonpronoun-case-distinction,gvn,"transitive subject form distinct from intransitive subject/transitive object form",§3.1.1
location-time-case,location-time-case-marking,gvn,"only local cases occur",§3.1.1
verb-tam,verb-tense-aspect-mood,gvn,"inflected",§3.1.1
particle-inflection,particle-inflection,gvn,none,§3.1.1
interjection-syntax,interjection-syntactic-status,gvn,"outside the syntactic framework of a clause",§3.1.1
word-class-nominal,word-class-type,gvn,open,§3.1.1
word-class-location-time,word-class-type,gvn,open,§3.1.1
word-class-verb,word-class-type,gvn,open,§3.1.1
word-class-demonstrative,word-class-type,gvn,closed,§3.1.1
word-class-pronoun,word-class-type,gvn,closed,§3.1.1
word-class-particle,word-class-type,gvn,closed,§3.1.1
word-class-interjection,word-class-type,gvn,closed,§3.1.1
comparative-intensity-marker-attachment,comparative-intensity-marker-attachment,gvn,"adjectives, quantifiers",§3.2
derivational-affix-attachment,derivational-affix-attachment,gvn,nouns,§3.2
quantifiers-case-inflection,quantifiers-case-inflection,gvn,"neutral set",§3.2
morphological-case-count,case-count,gvn,8,§3.2.1
absolutive-case-function,case-role,gvn,"marks intransitive subject and transitive object",§3.2.1
ergative-case-function,case-role,gvn,"marks transitive subject",§3.2.1
instrumental-case,instrumental-case,gvn,present,Peripheral syntactiC cases
dative-case,dative-case,gvn,present,Peripheral syntactiC cases
general-locative-case,general-locative-case,gvn,"marks location (in, on, at), allative (movement goal) and goal of three-argument verbs",Local cases
ablative-case,ablative-case,gvn,"indicates a general source (from), prior in time or location",Local cases
abessive-case,abessive-case,gvn,"indicates a locational source where the place is not left behind",Local cases
perlative-case,perlative-case,gvn,"used only in the Nyungkul dialect to mark a defined space through which something passes",Local cases
inflectional-allomorph-sets,case-allomorph-sets,gvn,"two distinct sets ('neutral' and 'potent') for all cases except absolutive, instrumental, abessive, and perlative",Local cases
absolutive-case-zero-inflection,absolutive-case-zero,gvn,yes,Chapter 3
potent-ergative-allomorphs,potent-ergative-allomorph,gvn,"-du, -da",N/A
affix-allomorphy-ngka-ngku,affix-allomorphy,gvn,ngka/ngku,Table -ngkV/V-
absolutive-case-allomorphs,absolutive-case,gvn,"neutral: -φ",Table 3.1
ergative-case-allomorphs,ergative-case,gvn,"neutral: -bu/V-, -Vbu/r-, -njV/y-, -dV/elsewhere; potent: -ngkV/V-, -VngkV/C-",Table 3.1
instrumental-case-allomorphs,instrumental-case,gvn,"neutral: = neutral ergative",Table 3.1
dative-case-allomorphs,dative-case,gvn,"neutral: -ngkV/y-, -VkV/r-, -kV/elsewhere; potent: -nkV/V-, -VnkV/C-",Table 3.1
general-locative-case-allomorphs,general-locative-case,gvn,"neutral: -ngV/V-, -V/r-, -mbV/y-, -bV/elsewhere; potent: -ndV/V-, -VndV/C-",Table 3.1
ablative-case-allomorphs,ablative-case,gvn,"neutral: -muny; potent: -general LOC + muny",Table 3.1
abessive-case-allomorphs,abessive-case,gvn,"neutral: -mundu",Table 3.1
perlative-case-allomorphs,perlative-case,gvn,"neutral: -burr/V-, -Vburr/r-, -jVrr/y-, -dVrr/elsewhere",Table 3.1
neutral-ablative-marker,neutral-ablative-marker,gvn,-muny,§NA
potent-ablative-formation,potent-ablative-formation,gvn,"general locative + muny","example"
abessive-case-marker,abessive-case-marker,gvn,-mundu,n/a
neutral-ergative-marker,neutral-ergative-marker,gvn,-dV,§3.2.2.1
potent-ergative-marker,potent-ergative-marker,gvn,-ngkV,§3.2.2.1
neutral-locative-marker,neutral-locative-marker,gvn,-ngV,§3.2.2.1
potent-locative-marker,potent-locative-marker,gvn,-ndV,§3.2.2.1
neutral-dative-marker,neutral-dative-marker,gvn,-kV,§3.2.2.1
potent-dative-marker,potent-dative-marker,gvn,-nkV,§3.2.2.1
nominal-stem-formation-methods,nominal-stem-formation,gvn,"affixation, reduplication, compounding",§3.2.3
catalytic-suffix-mun,catalytic-suffix,gvn,-mun-,§3.2.3
nominalising-suffix-from-verbs,nominalisation-suffix,gvn,present,§3.2.3
semantic-affixes-count,semantic-affix-numbers,gvn,"seven suffixes, two prefixes",§3.2.3
derivational-affix-syllable-count,derivational-affix-syllable-count,gvn,"monosyllabic or disyllabic",§3.2.3
derivational-affix-criteria,derivational-affix-criteria,gvn,"non-independent; inseparable from root; derived stem inflectable for case; word stress on first syllable",§3.2.3
catalytic-suffix-stress,catalytic-suffix-no-stress-change,gvn,unchanged,§3.2.3.1
alienable-possession-affixation,alienable-possession-affixation,gvn,present,§3.2.3.1
alienable-possession-zero-inflection-forms,alienable-possession-zero-inflection-suffixes,gvn,"-mu/V-, -Vmu/C-",§3.2.3.1
alienable-possession-nonzero-inflection-forms,alienable-possession-nonzero-inflection-suffixes,gvn,"-ndVmun-/V-, -VndVmun-/C-",§3.2.3.1
inalienable-possession,inalienable-possession,gvn,juxtaposed,§3.2.3.1
possessor-of-possessor-affix,possessor-of-possessor-affix,gvn,absent,§3.2
derivational-comitative-suffix,derivational-comitative-suffix,gvn,present,§4.6.1
comitative-suffix-variant,comitative-suffix-variant,gvn,"neutral and potent",§4.6.1
catalytic-suffix,catalytic-suffix,gvn,present,§3.2.3.1
possessive-suffix-neutral,possessive-suffix-neutral,gvn,always neutral,§3.2
privative-affix-kari,privative-affix,gvn,kari (suffix),§3.2.3.4
privative-stem-formation-productivity,privative-stem-formation-productivity,gvn,low,§3.2.3.4
privative-stem-usage,privative-stem-usage,gvn,predominantly equational,§3.2.3.4
privative-stem-inflection,privative-stem-inflection,gvn,typically zero,§3.2.3.4
privative-stem-neutral-inflection,privative-stem-neutral-inflection,gvn,preferred by some speakers,§3.2.3.4
default-number-implied,default-number,gvn,"singular (except for mass nouns)",§3.2.3.5
quantifier-use-for-number,quantifier-plural,gvn,yes,§3.2.3.5
derivational-number-marking,derivational-number,gvn,3,§3.2.3.5
noun-plural-reduplication,noun-reduplication-general-plural,gvn,yes,Reduplication
adjective-reduplication-adverbial,adjective-reduplication-adverbial,gvn,yes,§3.8.6.2
kinship-plural-reduplication,kinship-plural-reduplication,gvn,no,(li)
kinship-plural-suffix,kinship-plural-suffix,gvn,-karra-,(li)
derivational-suffix-bulal,derivational-suffix,gvn,"-bulal 'pair'",§3.5.1
suffix-human-reference,suffix-human-reference,gvn,yes,§3.5.1
dual-pronoun,dual-pronoun,gvn,bula,§3.5.1
dual-quantifier,dual-quantifier,gvn,"jambul 'two'",§3.5.1
numeral-two-derivational-suffix,numeral-two-derivational-suffix,gvn,-dpran,§3
numeral-two-adjective,numeral-two-adjective,gvn,bulay,§3
pair-formation-morphology,pair-formation-morphology,gvn,"suffix -bulal",§66,§67
nominalising-suffix-nyv,nominalising-suffix,gvn,"present; affixed as -nya after final vowels a/i and -nyu after final vowel u",§3.2.3.6
personal-characteristic-affixes,noun-derivations,gvn,"-(w)arra, -baka, mala-",§3.2.3.7
baja-verb-postinflectional-clitic,postinflectional-clitic,gvn,functions as "again" clitic when attached to verbs,§3.10.3
baja-adjective-stem-suffix,adjective-stem-forming-suffix,gvn,attaches to adjectives and must be followed by emphatic clitic "-ku" to indicate "very",§3.10.2
baja-adjective-inflection-placement,adjective-inflection-placement,gvn,if non-zero inflection occurs, the inflectional suffix is inserted between -baja and clitic "-ku",§3.10.2
jarra-verb-productivity,bound-morpheme-productivity,gvn,attested with one verb but not used productively,
catalytic-suffix-domain,catalytic-suffix-domain,gvn,"trisyllabic roots and loan words preceding the case inflection",§3.2.3.9
mala-prefix-domain,mala-prefix-domain,gvn,"noun roots",§3.2.3.9
jarra-prefix-domain,jarra-prefix-domain,gvn,"adjectival stems",§3.2.3.9
kinship-plural-domain,kinship-plural-domain,gvn,"kinship terms",§3.2.3.9
inhabitants-suffix-domain,inhabitants-suffix-domain,gvn,"proper and common place names",§3.2.3.9
possessive-privative-cooccurrence,possessive-privative-cooccurrence,gvn,"cannot co-occur",§3.2.3.9
attributive-comitative-suffix-cooccurrence,attributive-comitative-suffix-cooccurrence,gvn,"may be followed by possessive",§3.2.3.9
accompaniment-comitative-suffix-cooccurrence,accompaniment-comitative-suffix-cooccurrence,gvn,"cannot take further derivational suffixes",§3.2.3.9
degree2-suffix-chainability,degree2-suffix-chainability,gvn,"chainable but unusual",§3.2.3.9
noun-stem-suffixes-first-order,noun-stem-suffixes-first-order,gvn,"privative, kinship plural, pair, inhabitants, excessive, general plural",§3.2.3.9
location-words-closed-class,closed-word-class,gvn,yes,§3.3
location-words-inflectional-difference,inflectional-difference-from-nominals,gvn,yes,§3.3
locative-temporal-extension,locative-temporal-extension,gvn,yes,Chapter 3
symmetrical-locational-systems,symmetrical-locational-systems,gvn,3,Chapter 3
limited-use-left-right,left-right-domain,gvn,body-parts,§(ii)
reduplicated-comitative,reduplication,gvn,yes,§(ii)
compass-point-shift,compass-point-adjustment,gvn,westward-shifted,§(ii)
compass-point-domain,compass-point-domain,gvn,land-only,§(ii)
general-direction-yarra-directional-specificity,directional-specificity,gvn,non-specific,§iv
general-direction-yarra-gesture,co-speech-gesture,gvn,required,§iv
location-words-local-only,location-case,gvn,local-only,§3.3.2
location-words-no-locative-inflection,locative-inflection,gvn,none,§3.3.2
location-words-perlative,perlative-usage,gvn,disallowed,§3.3.2
location-word-direction-location-differentiation,direction-location-differentiation,gvn,stem-reduplication,§3.3.2
location-words-ablative-suffix,ablative-suffix,gvn,-muny,§3.3.2
location-words-abessive-suffix,abessive-suffix,gvn,-mundu,§3.3.2
time-words-distinct-class,word-class-difference,gvn,morphologically-distinct,§3.3.2
juma-dative-suppletion,dative-form-suppletion,gvn,juma-ka/jumay-ngka,§3.3.2
free-pronoun-forms,free-pronoun-forms,gvn,yes,Chapter 3
personal-pronoun-numbers,personal-pronouns-numbers,gvn,"singular, dual, plural",Chapter 3
pronoun-inclusive-exclusive,pronoun-inclusive-exclusive,gvn,optional,Chapter 3
second-person-plural-honorific,second-person-plural-honorific,gvn,yes,Chapter 3
core-syntactic-case-marking-pronouns,core-syntactic-case-marking-pronouns,gvn,"nominative/accusative",Chapter 3
pronoun-potent-allomorphs,pronoun-potent-allomorphs,gvn,"dative, general locative, ablative",Chapter 3
pronoun-case-restrictions,pronoun-case-restrictions,gvn,"no instrumental, perlative, or abessive",Chapter 3
pronominal-base-forms,pronominal-base-forms,gvn,"non‑singular: nominative base; singular: distinct nominative and possessive",Chapter 3
first-person-singular-suppletion,first-person-singular-suppletion,gvn,accusative-suppletion,Chapter 3
non-singular-pronoun-accusative-suffix,non-singular-pronoun-accusative-suffix,gvn,"-ngan (Yalanji)",Chapter 3
second-third-person-singular-accusative-suffix,second-third-person-singular-accusative-suffix,gvn,"-ny (Yalanji)",Chapter 3
first-person-singular-forms,first-person-singular-forms,gvn,"ngayu/nganya/ngayku",Chapter 3
possessive-pronoun-case-agreement,possessive-case-agreement,gvn,yes,§3.5.2
possessive-pronoun-optional-inflection,possessive-optional-inflection,gvn,yes,§3.5.2
possessive-uninflected-in-absolutive,possessive-uninflected-in-absolutive,gvn,yes,§3.5.2
personal-pronoun-allomorphs,inflection-allomorphy,gvn,"initial vowel following root-final consonants",Table 3.7
personal-pronoun-vowel-harmony,vowel-harmony,gvn,applies,§2.5.1
possessive-agreement,possessive-agreement,gvn,yes,76 Chapter 3
possessive-pronoun-stem-formation,possessive-pronoun-stem-formation,gvn,different for singular and non-singular,76 Chapter 3
possessive-suffix-set,possessive-suffix-set,gvn,neutral,76 Chapter 3
possessive-pronoun-suffix-ngun,possessive-pronoun-suffix,gvn,"-ngun (free variation)",Table 3.8
possessor-of-a-possessor,possessor-of-a-possessor,gvn,no,Table 3.8
possessive-locative-preference,possessive-locative-preference,gvn,yes,Table 3.8
pronoun-number-distinction,pronoun-number-distinction,gvn,"singular/dual/plural",§3.5.3
first-person-inclusive-exclusive,first-person-inclusive-exclusive,gvn,innovative,§3.5.3
first-person-accusative-suppletion,first-person-accusative-suppletion,gvn,yes,§3.5.3
agentive-form-reanalysis,agentive-form-reanalysis,gvn,"A and S merger",§3.5.3
second-person-non-singular-lenition,second-person-non-singular-lenition,gvn,yes,§3.5.3
who-interrogative-meaning,interrogative-meaning,gvn,interrogative-only,§3.6.1
what-interrogative-meaning,interrogative-meaning,gvn,interrogative-only,§3.6.1
where-interrogative-meaning,interrogative-meaning,gvn,interrogative and indefinite,§3.6.1
who-case-inflection,interrogative-case-marking,gvn,potent-set suffixes,§3.6.1
what-case-inflection,interrogative-case-marking,gvn,neutral-set suffixes,§3.6.1
what-possessive-forms,interrogative-possessive,gvn,absent,§3.6.1
what-dative-sense,interrogative-dative-usage,gvn,why,§3.6.1
what-comitative-usage,interrogative-comitative,gvn,illness inquiry,§3.6.1
where-case-marking,interrogative-case-marking,gvn,local-cases-only,§3.6.1
where-form-variation,interrogative-form-variation,gvn,wanja replaced by wanjabu,§3.6.1
derived-interrogative-forms,derived-interrogatives,gvn,"when; how; how many; which one",§3.6.1
which-one-free-interchangeability,which-one-free-interchangeability,gvn,yes,§82 Chapter 3
stem-forming-suffix-what-kind,stem-forming-suffix-what-kind,gvn,-nguy,§82 Chapter 3
interrogative-pronoun-root-pwanh,interrogative-pronoun-root,gvn,*waNH-,§6.2
demonstrative-pronouns-count,demonstrative-pronouns-count,gvn,2,§3.7
demonstrative-location-words-count,demonstrative-location-words-count,gvn,2,§3.7
demonstrative-contrast,demonstrative-contrast,gvn,"this/here vs that/there",§3.7
demonstrative-number,demonstrative-number,gvn,"context-dependent",§3.7
demonstrative-animacy,demonstrative-animacy,gvn,"refers to both animate and inanimate",§3.7
demonstrative-pronoun-case-marking,demonstrative-pronoun-case-marking,gvn,"same as nomina Is (all cases)",§3.7
demonstrative-vowel-variation,demonstrative-vowel-variation,gvn,"ablative, abessive, and comitative forms vary in second vowel (a vs u)",§3.7
demonstrative-neutral-locative-usage,demonstrative-neutral-locative-usage,gvn,"neutral locative form often rejected in favor of local demonstrative",§3.7
demonstrative-plural-case,demonstrative-plural-case,gvn,absolutive-only,§3.13
demonstrative-plural-reference,demonstrative-plural-reference,gvn,human-only,§3.13
demonstrative-local-distinction,demonstrative-local-distinction,gvn,non-distinct,§3.14
local-demonstrative-here,local-demonstrative-here,gvn,behaves-like-location-words,§3.14
demonstrative-noun-formation-suffix,demonstrative-noun-formation-suffix,gvn,-arra,§3.14
external-locative-adjunct,clause-boundary-marking,gvn,"locative NP (e.g., 'rock-LOC') is typically produced as an external adjunct—prosodically offset by a pause and falling intonation, with an integrated construction also possible but less preferred",§86
causative-derivation,causative-derivational-process,gvn,productive,§3.8
inchoative-derivation,inchoative-derivational-process,gvn,productive,§3.8
verbal-compound,verbal-compounds,gvn,present,§3.8
typical-verb-root-syllable-structure,verb-root-syllable-structure,gvn,disyllabic,§3.8.2
trisyllabic-verb-root-occurrence,verb-root-trisyllabicity,gvn,minor,§3.8.2
quadrisyllabic-verb-root-count,verb-root-quadrisyllable-count,gvn,4,§3.8.2
verb-root-final-vowel-conjugation,final-vowel-conjugation,gvn,non-past,§3.8.2
verb-inflectional-suffix,inflectional-suffix,gvn,obligatory,§3.8.2
max-derivational-suffixes,derivational-suffix-limit,gvn,2,§3.8.2
max-enclitics,enclitic-limit,gvn,3,§3.8.2
verb-reduplication-pattern,reduplication-pattern,gvn,typically total (rare partial),§3.8.2
reduplication-linking-filler,reduplication-linker,gvn,present,§3.8.2
compound-stem-reduplication,compound-stem-reduplication,gvn,second-member only,§3.8.2
trisyllabic-root-count,trisyllabic-root-count,gvn,28,§3.8.2.2
trisyllabic-root-grouping,trisyllabic-root-grouping,gvn,"-rri, -ma, -ba, others",§3.8.2.2
trisyllabic-root-conjugation,trisyllabic-root-conjugation,gvn,"lconjugation (all but one)",§3.8.2.2
trisyllabic-root-transitivity,trisyllabic-root-transitivity,gvn,"predominantly transitive",§3.8.2.2
final-syllable-rri-suffix,final-syllable-suffix,gvn,-rri,(i)
final-syllable-rri-root-count,final-syllable-root-count,gvn,18,(i)
nominal-root-based-derivation,nominal-root-based,gvn,yes,§3.8.3.2
inchoative-suffix,inchoative-suffix,gvn,-ma-l,§ii
final-syllable-ba,verb-final-syllable,gvn,-ba,§(iii)
causative-reduction-final-ba,causative-reduction,gvn,possible,§(iii)
verb-transitivity-division,transitivity-division,gvn,strict division,§3.B.3
subject-case-criterion,subject-case-marking,gvn,transitive: ergative; intransitive: absolutive,§3.B.3
verb-conjugation-classes,verb-conjugation-classes,gvn,i-conjugation and y-conjugation,§3.B.3
i-conjugation-transitivity,i-conjugation-transitivity,gvn,92% transitive,§3.B.3
y-conjugation-transitivity,y-conjugation-transitivity,gvn,100% intransitive,§3.B.3
verb-root-transitivity-proportion,verb-root-transitivity-proportion,gvn,77.6% transitive; 22.4% intransitive,§3.B.3
two-open-conjugation-classes,open-conjugation-class-count,gvn,2,§3.8.3.2
least-complex-conjugation-system,conjugation-system-complexity,gvn,least complex,§3.8.3.2
suppletive-roots,suppletive-roots,gvn,present in three l-conjugation verbs,§(i)
imperative-suffix-variation,imperative-suffix,gvn,"-ga for monosyllabic roots; -ka for polysyllabic roots",§(i)
transitive-root-reassignment,conjugation-reassignment-transitive,gvn,I-conjugation,§(i)
intransitive-root-reassignment,conjugation-reassignment-intransitive,gvn,y-conjugation,§(i)
trisyllabic-root-final-rri,root-structure,gvn,"trisyllabic with final -rri (6 of 18 attested)",§ii
verb-conjugation-change,verb-conjugation,gvn,"l-conjugation",§ii
past-tense-marker,past-tense-marker,gvn,"-ny",§ii
verbal-inflections-tense-system,tense-system,gvn,two-term (nonpast, past),§3.8.4
verbal-inflections-imperative,imperative,gvn,present,§3.8.4
verbal-inflections-purposive,purposive-inflection,gvn,present,§3.8.4
verbal-inflections-precautionary,precautionary-inflection,gvn,present,§3.8.4
verbal-inflections-successive,successive-inflection,gvn,present,§3.8.4
verbal-inflections-irrealis,irrealis-inflection,gvn,present,§3.8.4
verbal-inflections-unmarked,unmarked-subordinate-suffix,gvn,present,§3.8.4
nonpast-inflection,nonpast-inflection,gvn,"present/future (identical to conjugation marker)",§3.8.4.2
past-tense-marker-ny,past-tense-marker,gvn,"-ny (may imply either perfective or imperfective aspect)",§ii
imperative-mood-usage,imperative-mood,gvn,"used for second-person orders and first-person invitations",§iii
imperative-zero-inflection,imperative-inflection,gvn,"zero inflection for I‑conjugation disyllabic roots",§iii
imperative-inflection-y,imperative-inflection,gvn,"-y for y‑conjugation disyllabic roots",§iii
imperative-inflection-ka,imperative-inflection,gvn,"-ka for verbs with roots or stems of more than two syllables",§iii
imperative-suppletion,imperative-inflection-suppletion,gvn,"present for three I‑conjugation verbs (daji‑l, nyaji‑l, mani‑l)",§iii
imperative-nonpast-homophony,imperative-nonpast-homophony,gvn,"y‑conjugation verbs use the same suffix for nonpast and imperative",§iii
irrealis-mood,irrealis-mood,gvn,present,iv
irrealis-clause-of-use,irrealis-use,gvn,independent,iv
irrealis-temporal-reference,irrealis-temporal-reference,gvn,absent,iv
purposive-inflection,purposive-inflection,gvn,"allomorphs -nka (after final vowels a and i) and -nku (after final vowel u)",§4.4.1
precautionary-inflection,precautionary-inflection,gvn,"suffix -nyji indicating undesirable or preventable events",§4.4.2
successive-inflection,successive-inflection,gvn,"allomorphs -nya (after final vowels a and i) and -nyu (after final vowel u)",§4.4.3
nominaliser-subordination,nominaliser-subordination,gvn,"verb suffix -nyV used as a nominaliser in subordinate clauses",§4.4.4
causative-verb-stem-formation,causative-verb-stem-formation,gvn,"compounding with a causative root from nominals, intransitive verbs, or adjectival particles",§3.8.5.1
inchoative-verb-stem-formation,inchoative-verb-stem-formation,gvn,"derived with suffix -ma-l",§3.8.5.3
syntactic-reciprocal-derivation,syntactic-reciprocal,gvn,present,§3.8.5.4-3.8.5.5
syntactic-reflexive-derivation,syntactic-reflexive,gvn,present,§3.8.5.4-3.8.5.5
nonsyntactic-reduplication-derivation,nonsyntactic-reduplication,gvn,present,§3.8.5.4-3.8.5.5
nonsyntactic-plural-subject-agreement-derivation,nonsyntactic-plural-subject-agreement,gvn,present,§3.8.5.4-3.8.5.5
causative-compounds-classification,causative-compounds-classification,gvn,"two categories: state and action",§3.8.5.1
state-causative-components,state-causative-components,gvn,"-bunga-l, -kanga-l",§3.8.5.1
action-causative-component,action-causative-component,gvn,"-mani-l",§3.8.5.1
transitive-causative-compound,transitive-causative-compound,gvn,"absent",§3.8.5.1
state-causative-bunga-l,state-causative-marker,gvn,"bunga-l: unmarked state‐causative verbaliser; full form used in reduplication and has a reduced allomorph in rapid speech",§(i)
state-causative-kanga-l,state-causative-marker,gvn,"kanga-l: used with simple nominal roots to indicate causation involving physical or emotional commotion",§(i)
action-causative-mani-l,action-causative-marker,gvn,"mani-l: action‐causative verbaliser formed by appending -mani-l with an inserted link morpheme -y- after final vowels of intransitive roots",§(ii)
action-causative-suppletive,action-causative-suppletion,gvn,"present: imperative forms use a suppletive form of mani-l 'get'",§(ii)
compound-body-part-verb,compound-body-part-verb,gvn,present,"body part + verb"
compound-wawu-verb,compound-wawu-verb,gvn,present,"wawu 'breath, spirit' + verb"
compound-other-noun-verb,compound-other-noun-verb,gvn,present,"other nouns + verb"
compound-adjective-verb,compound-adjective-verb,gvn,present,"adjective + verb"
compound-verb-verb,verb-verb-compound,gvn,attested,"walngka-n-dama-l"
inchoative-stem-from-nominal,formation-nominal-derivational-suffix,gvn,-ma-l,§3.8.5.3
