ID,Parameter_ID,Language_ID,Value,Source
10,2,Wajarri,ngarlbugayimanha,Source
11,1,Wajarri,mantharli,Source
12,1,Wajarri,ngurrguny,Source
13,1,Wajarri,barnda,Source
14,1,Wajarri,thunggul,Source
15,1,Wajarri,yardaji,Source
16,2,Wajarri,yardajimanha,Source
17,2,Wajarri,yardajunmanha,Source
18,1,Wajarri,marlba,Source
19,1,Wajarri,gan.gara,Source
20,1,Wajarri,gayarra,Source
1,1,1,bigurda,source
2,1,1,barnda,source
3,1,1,gaburdiny,source
4,2,1,murlamanmanha,source
5,1,1,ngarraya,source
6,1,1,gami,source
7,1,1,gajayarra,source
8,1,1,gambarnuyarra,source
9,1,1,milyindi,source
10,1,1,uba,source
11,2,1,bunjanmanha,source
12,1,1,burru,source
13,1,1,ganggu,source
14,1,1,garlbarda,source
15,1,1,murdi,source
16,1,1,garndi,source
17,2,1,burrarnmanha,source
18,1,1,miyarnu,source
19,1,1,yurilbagu,source
20,1,1,mirnungu,source
1,1,1,thalayi wanggamanha,Source
2,1,1,tharinmanha,Source
3,1,1,ngarrimanha,Source
4,1,1,ngarrijingamanha,Source
5,1,1,gan.galyarra ngarrimanha,Source
6,1,1,gan.garamanha,Source
7,1,1,ngarrijunmanha,Source
8,1,1,yambaljimanha,Source
9,1,1,mabarnyuwa,Source
10,1,1,balbaru,Source
11,1,1,birlu,Source
12,1,1,barndimanmanha,Source
13,1,1,balybamanmanha,Source
14,1,1,yurla,Source
15,1,1,mirru,Source
16,1,1,yugu,Source
17,1,1,juja,Source
18,1,1,wilhbala,Source
19,1,1,thugarri,Source
20,1,1,gumbarri,Source
1,1,1,barraa,source
2,1,1,gurduba,source
3,1,1,yaburru,source
4,1,1,Birdungu,source
5,1,1,yirdi,source
6,1,1,wayi,source
7,1,1,tharra,source
8,1,1,miyarnugurru,source
9,1,1,bagi,source
10,1,1,guwardi,source
11,1,1,murnamanmanha,source
12,1,1,thuwarri,source
13,1,1,wilygi,source
14,1,1,yawari,source
15,1,1,miilbindi,source
16,1,1,wanggalalany,source
17,1,1,gaja,source
18,1,1,winja,source
19,1,1,bardarni,source
20,1,1,jarda,source
1,1,1,biyangamanha,source1
2,1,1,bunthanyimanha,source1
3,1,1,biyayinyamanha,source1
4,2,1,jibaly,source1
5,2,1,irri,source1
6,1,1,mirnunmanha,source1
7,2,1,iri,source1
8,2,1,mardanyuwa,source1
9,2,1,wandiyarangu,source1
10,2,1,thimara,source1
11,2,1,yanu,source1
12,2,1,gurniny,source1
13,2,1,waritharra,source1
14,2,1,mulgana,source1
15,2,1,budiri,source1
16,2,1,wilbinjangu,source1
17,2,1,gulyu,source1
18,2,1,gaba,source1
19,1,1,wayalgunmanha,source1
20,1,1,indiganmanha,source1
1,1,1,bulayini,source
2,1,1,nyaja,source
3,1,1,burna,source
4,1,1,garru,source
5,1,1,garu,source
6,1,1,wirriya,source
7,1,1,birdilyba,source
8,1,1,thumbuny,source
9,1,1,nyurni,source
10,1,1,dungguru,source
11,1,1,thungguru,source
12,1,1,burngumanmanha,source
13,1,1,wandarri,source
14,1,1,galinjumanha,source
15,1,1,barlga,source
16,1,1,minjirr-minjirr,source
17,1,1,galinja,source
18,1,1,ngurlu,source
19,1,1,ngurliyimanha,source
20,1,1,birrilygunmanha,source
21,2,1,minjirr-minjirr,source
22,3,1,thumbuny,source
23,4,1,bulayini,source
24,5,1,nyurni,source
25,6,1,garu,source
26,7,1,garru,source
27,8,1,burna,source
28,9,1,wirriya,source
29,10,1,birdilyba,source
30,11,1,dungguru,source
31,12,1,thungguru,source
32,13,1,wandarri,source
33,14,1,galinjumanha,source
34,15,1,barlga,source
35,16,1,ngurlu,source
36,17,1,galinja,source
37,18,1,ngurliyimanha,source
38,19,1,birrilygunmanha,source
39,20,1,burngumanmanha,source
1,1,1,jarra-jarra,source
2,2,1,-manha,source
3,3,1,-bidi,source
4,4,1,-nya,source
5,5,1,body parts,source
6,6,1,kinship,source
7,7,1,nature,source
8,8,1,ngalga,source
9,9,1,marrbu,source
10,10,1,wijiri,source
11,11,1,waranmanha,source
12,12,1,jija,source
13,13,1,jurdu,source
14,14,1,gunja,source
15,15,1,malyu,source
16,16,1,jandi,source
17,17,1,mangu,source
18,18,1,nyinamanha,source
19,19,1,gardugardimanha,source
20,20,1,nyinajunmanha,source
21,21,1,nyinajimanha,source
22,22,1,ganja,source
23,23,1,mingu,source
24,24,1,gurlgu,source
25,25,1,baljarri,source
26,26,1,burrgurlu,source
1,1,1,garrayijunmanha,Source
2,1,1,jibala,Source
3,1,1,marangganmanha,Source
4,1,1,maranggayimanha,Source
5,1,1,garrimanha,Source
6,1,1,garrijunmanha,Source
7,1,1,garrijimanha,Source
8,1,1,bundara,Source
9,1,1,thurlbirimanha,Source
10,1,1,nyinanyugundi,Source
11,1,1,marlga,Source
12,1,1,mangayimanha,Source
13,1,1,mabanyimanha,Source
14,1,1,malgara,Source
15,1,1,ngarndu,Source
16,1,1,ngarndi-ngarndi,Source
17,1,1,wirlbardi,Source
18,1,1,wirlbardimanha,Source
19,1,1,wirndarnimanha,Source
20,1,1,gugurr,Source
1,1,Wajarri,marngurr,source
2,1,Wajarri,bagarn,source
3,2,Wajarri,warnijanmanha,source
4,2,Wajarri,dumbulhmanmanha,source
5,2,Wajarri,mugurimanha,source
6,2,Wajarri,mugurimanmanha,source
7,3,Wajarri,maja,source
8,3,Wajarri,malardi,source
9,2,Wajarri,malardiyimanha,source
10,4,Wajarri,bun.gu,source
11,5,Wajarri,ngamari,source
12,6,Wajarri,bagi,source
13,7,Wajarri,mamathura,source
14,8,Wajarri,bilhburr,source
15,9,Wajarri,mindily,source
16,10,Wajarri,birli,source
17,11,Wajarri,thalany,source
18,12,Wajarri,wirlga,source
19,13,Wajarri,bunthanymarda,source
20,2,Wajarri,wandanmanha,source
1,1,1,jina yanmanha,source
2,1,1,yanagayimanha,source
3,1,1,wanarayimanha,source
4,1,1,wajamanmanha,source
5,1,1,budibudimanha,source
6,1,1,mili-mili,source
7,2,1,-manha,source
8,2,1,-bidi,source
9,2,1,-nya,source
10,3,1,body parts,source
11,3,1,kinship,source
12,3,1,nature,source
